name,t_ms,in_size_bytes,out_size_bytes,nlines
third_party/libwebp/dec/alpha.c,1475,66149,823,2591
third_party/libwebp/dec/layer.c,1239,66368,1216,2602
base/third_party/dynamic_annotations/dynamic_annotations.c,1596,50038,1904,1690
v8/src/cached-powers.cc,1597,77061,4632,2776
third_party/libwebp/dec/quant.c,119,46706,2984,1808
v8/src/atomicops_internals_x86_gcc.cc,1604,103288,1944,4865
v8/src/bignum-dtoa.cc,1609,130319,7032,5563
third_party/libwebp/dec/tree.c,1620,64108,8472,2185
third_party/libwebp/dec/webp.c,1631,82655,13480,3219
third_party/libwebp/utils/thread.c,40,20484,2144,689
third_party/libwebp/utils/bit_reader.c,66,18195,2728,748
v8/src/allocation.cc,93,81848,4680,3709
third_party/libwebp/dec/buffer.c,97,73391,3632,2835
third_party/libwebp/dec/io.c,1691,87990,12472,3311
v8/src/bignum.cc,1741,99684,17200,4467
third_party/libwebp/utils/bit_writer.c,128,51811,5880,1857
third_party/libwebp/dec/idec.c,151,85304,9856,3319
third_party/libwebp/dec/frame.c,166,82382,11040,3159
third_party/libwebp/dec/vp8.c,1766,85743,22216,3333
third_party/webrtc/modules/audio_coding/codecs/g711/g711.c,253,8747,2472,328
third_party/webrtc/common_audio/signal_processing/complex_bit_reverse.c,254,42696,1424,1231
third_party/webrtc/common_audio/signal_processing/cross_correlation.c,242,43197,1448,1236
third_party/webrtc/common_audio/signal_processing/copy_set_operations.c,259,43922,3456,1278
third_party/webrtc/common_audio/signal_processing/division_operations.c,219,44885,2400,1318
third_party/webrtc/common_audio/signal_processing/dot_product_with_scale.c,140,42614,1336,1219
third_party/webrtc/common_audio/signal_processing/downsample_fast.c,160,43146,1504,1239
v8/src/conversions.cc,820,254792,23736,11605
v8/src/counters.cc,3635,1189706,4832,40420
v8/src/checks.cc,3644,1190742,6136,40434
v8/src/inspector.cc,1633,1188665,811,40363
v8/src/liveobjectlist.cc,29,217,816,9
v8/src/data-flow.cc,3848,1371290,1376,46706
v8/src/contexts.cc,2232,1267654,8368,43690
v8/src/cpu-profiler.cc,3949,1216291,40088,41399
v8/src/interpreter-irregexp.cc,2077,1374452,6864,46352
v8/src/lithium.cc,1779,1782672,15408,61656
v8/src/assembler.cc,2710,1607566,45400,55966
v8/src/accessors.cc,4479,1380301,31424,48646
v8/src/incremental-marking.cc,2601,1600319,49728,55969
v8/src/log-utils.cc,1202,1198310,16544,40799
v8/src/objects-debug.cc,1138,1250929,815,42691
v8/src/preparse-data.cc,477,102728,35088,4651
v8/src/isolate.cc,3301,1911257,95776,66260
v8/src/builtins.cc,5509,1624274,144816,54854
v8/src/objects-printer.cc,1199,1250947,817,42691
third_party/icu/linux/icudt46l_dat.S,3920,23877855,9955101,77782
v8/src/messages.cc,1792,1195423,10144,40584
v8/src/objects-visiting.cc,1573,1525616,1768,53142
v8/src/preparser.cc,1114,325359,65200,14234
v8/src/log.cc,2507,1639947,109400,57532
v8/src/liveedit.cc,2902,1618821,76136,56922
v8/src/lithium-allocator.cc,3013,1961456,90480,66335
v8/src/property.cc,1290,1189381,1744,40393
v8/src/prettyprinter.cc,1510,1360581,815,46245
v8/src/regexp-macro-assembler.cc,1386,1364099,12072,46207
v8/src/regexp-macro-assembler-irregexp.cc,1367,1362741,833,45983
v8/src/regexp-macro-assembler-tracer.cc,1448,1371461,35440,46359
v8/src/regexp-stack.cc,1291,1190344,5008,40438
v8/src/bootstrapper.cc,7280,1590570,141480,54517
v8/src/scanner.cc,810,162692,29712,5793
v8/src/jsregexp.cc,5853,1710316,200440,59847
v8/src/rewriter.cc,1657,1376590,35240,46771
v8/src/safepoint-table.cc,1500,1366543,14856,48071
v8/src/scanner-character-streams.cc,1607,1197087,13696,40723
v8/src/scopeinfo.cc,1593,1372666,15624,46732
v8/src/snapshot-common.cc,1255,1205257,5680,41066
v8/src/profile-generator.cc,3222,1313521,227656,44391
v8/src/token.cc,216,40746,27576,1575
v8/src/store-buffer.cc,1167,1204224,20168,40931
v8/src/runtime-profiler.cc,2280,1604097,22800,56355
v8/src/strtod.cc,797,128739,5464,5447
v8/src/utils.cc,260,81697,3696,3711
v8/src/unicode.cc,686,144427,72608,4012
v8/src/spaces.cc,2156,1407823,104744,49096
v8/src/string-search.cc,1561,1202128,815,40882
v8/src/mark-compact.cc,5636,1746904,213576,60659
v8/src/scopes.cc,2606,1398221,45008,47838
v8/src/string-stream.cc,2070,1206824,36984,41086
v8/src/parser.cc,5597,1788360,328408,63044
v8/src/v8-counters.cc,1536,1211944,91544,40389
v8/src/serialize.cc,3139,1793461,296160,55490
v8/src/v8threads.cc,1357,1263589,23232,43515
v8/src/api.cc,8962,1811460,501192,61340
v8/src/variables.cc,1222,1361684,3992,46296
v8/src/v8utils.cc,1303,1201756,17464,40942
v8/src/v8.cc,1948,1819774,12600,63259
v8/src/type-info.cc,2287,1617143,28784,56270
v8/src/zone.cc,1498,1193808,6104,40640
v8/src/stub-cache.cc,2679,1662111,82680,57195
v8/src/version.cc,1727,1190659,5472,40446
v8/src/extensions/externalize-string-extension.cc,1250,1193100,16048,40490
v8/src/extensions/gc-extension.cc,1405,1189791,5328,40400
v8/src/v8conversions.cc,2941,1192275,52424,40506
v8/src/x64/frames-x64.cc,1178,1197975,1288,40767
v8/src/x64/builtins-x64.cc,1931,1650062,68472,57881
v8/src/x64/codegen-x64.cc,1947,1578397,17072,55160
v8/src/x64/disasm-x64.cc,1641,1238050,93632,42225
v8/src/x64/cpu-x64.cc,1851,1342526,2192,47080
v8/src/x64/debug-x64.cc,2005,1573356,19216,55102
v8/src/x64/deoptimizer-x64.cc,1948,1636101,30296,57179
v8/src/x64/assembler-x64.cc,3183,1398050,142632,49925
v8/src/circular-queue.cc,1744,1191286,3480,40449
v8/src/flags.cc,1649,1248270,160688,42160
v8/src/code-stubs.cc,1860,1614659,50688,56204
v8/src/func-name-inferrer.cc,1372,1355069,7128,45902
v8/src/fast-dtoa.cc,410,98849,4896,4497
v8/src/fixed-dtoa.cc,202,124322,5752,5258
v8/src/x64/code-stubs-x64.cc,3176,1745057,306096,61202
v8/src/diy-fp.cc,56,39132,1352,1636
v8/src/dtoa.cc,122,118260,2264,5069
v8/src/heap-profiler.cc,1366,1194206,12752,40552
v8/src/frames.cc,2408,1652250,91400,57784
v8/src/global-handles.cc,2214,1206025,16064,41087
v8/src/full-codegen.cc,3039,1670671,122608,58440
v8/src/handles.cc,2666,1626797,62464,55443
v8/src/execution.cc,2135,1600088,40160,55946
v8/src/disassembler.cc,1587,1586750,1864,55636
v8/src/dateparser.cc,1256,1203098,3664,40969
v8/src/elements.cc,2525,1218751,133616,41192
v8/src/objects.cc,10863,2222828,634784,75378
v8/src/deoptimizer.cc,2257,1657122,72800,57945
v8/src/ic.cc,3104,1672653,133272,58120
v8/src/ast.cc,2311,1449421,245776,49429
v8/src/debug-agent.cc,1983,1258851,23776,43332
v8/src/codegen.cc,1754,1603342,11656,55898
v8/src/compilation-cache.cc,1908,1245670,30304,42435
v8/src/hydrogen-instructions.cc,4293,1977017,668088,66323
third_party/webrtc/common_audio/signal_processing/energy.c,76,42571,1504,1216
third_party/webrtc/common_audio/signal_processing/filter_ar.c,100,44614,2080,1269
v8/src/factory.cc,4222,1495765,154264,48708
third_party/webrtc/common_audio/signal_processing/filter_ar_fast_q12.c,63,42997,1488,1226
third_party/webrtc/common_audio/signal_processing/filter_ma_fast_q12.c,74,42967,1432,1229
third_party/webrtc/common_audio/signal_processing/get_hanning_window.c,82,44275,2248,1257
third_party/webrtc/common_audio/signal_processing/get_scaling_square.c,86,42752,1576,1224
third_party/webrtc/common_audio/signal_processing/ilbc_specific_functions.c,106,45716,2848,1293
third_party/webrtc/common_audio/signal_processing/auto_correlation.c,94,43547,1880,1267
v8/src/debug.cc,3413,1737439,149832,61137
third_party/webrtc/common_audio/signal_processing/complex_fft.c,135,56480,5912,1573
third_party/webrtc/common_audio/signal_processing/lpc_to_refl_coef.c,61,43175,1832,1237
third_party/webrtc/common_audio/signal_processing/levinson_durbin.c,165,48630,3104,1439
third_party/webrtc/common_audio/signal_processing/randomization_functions.c,62,46484,3264,1294
third_party/webrtc/common_audio/signal_processing/min_max_operations.c,116,47228,3976,1431
third_party/webrtc/common_audio/signal_processing/refl_coef_to_lpc.c,77,43028,1504,1240
v8/src/compiler.cc,2610,1897263,38048,65989
third_party/webrtc/common_audio/signal_processing/resample_48khz.c,60,46808,5272,1387
third_party/webrtc/common_audio/signal_processing/resample.c,133,54432,8248,1675
third_party/webrtc/common_audio/signal_processing/resample_by_2.c,100,46567,2488,1315
v8/src/x64/ic-x64.cc,2499,1638967,75376,57212
third_party/webrtc/common_audio/signal_processing/auto_corr_to_refl_coef.c,98,44170,2336,1283
third_party/webrtc/common_audio/signal_processing/resample_by_2_internal.c,149,19556,5616,812
third_party/webrtc/common_audio/signal_processing/resample_fractional.c,108,47896,2904,1415
third_party/webrtc/common_audio/signal_processing/spl_version.c,45,42215,1624,1204
third_party/webrtc/common_audio/signal_processing/spl_sqrt_floor.c,69,43932,1584,1225
third_party/webrtc/common_audio/signal_processing/spl_sqrt.c,117,44486,1872,1295
third_party/webrtc/common_audio/signal_processing/splitting_filter.c,109,47031,3832,1347
third_party/webrtc/common_audio/signal_processing/sqrt_of_one_minus_x_squared.c,82,42613,1536,1215
third_party/webrtc/common_audio/signal_processing/vector_scaling_operations.c,81,45692,2904,1324
v8/src/x64/lithium-gap-resolver-x64.cc,2199,1950583,9528,66135
native_client/src/trusted/service_runtime/env_cleanser.c,170,102722,7688,4438
third_party/skia/third_party/glu/libtess/tessmono.c,75,34133,3696,1320
third_party/skia/third_party/glu/libtess/normal.c,232,52354,3736,1485
v8/src/platform-posix.cc,1259,1259660,21712,44381
v8/src/platform-linux.cc,1481,1290034,49072,45745
third_party/skia/third_party/glu/libtess/priorityq.c,209,44607,9000,1682
third_party/skia/third_party/glu/libtess/tess.c,235,50948,13568,2016
third_party/skia/third_party/glu/libtess/render.c,277,23487,7760,812
sdch/open-vcdiff/src/adler32.c,128,40476,2728,2063
third_party/skia/third_party/glu/libtess/sweep.c,401,66313,17952,2551
v8/src/heap.cc,6098,1794664,416016,62559
third_party/webrtc/modules/audio_coding/codecs/g722/g722_decode.c,179,72124,8256,2710
v8/src/x64/regexp-macro-assembler-x64.cc,2354,1528951,57440,53269
third_party/webrtc/modules/audio_coding/codecs/g722/g722_interface.c,80,50035,4704,1808
sdch/open-vcdiff/src/decodetable.cc,388,517692,7432,20365
sdch/open-vcdiff/src/addrcache.cc,604,567250,13568,22275
v8/src/x64/macro-assembler-x64.cc,2671,1684573,208904,59303
third_party/skia/third_party/glu/libtess/memalloc.c,51,43348,1240,1556
third_party/webrtc/modules/audio_coding/codecs/g711/g711_interface.c,112,28738,3120,1009
third_party/angle/src/compiler/debug.cpp,759,726719,1185,27874
third_party/skia/third_party/glu/libtess/dict.c,80,31119,2952,1224
