name,t_ms,in_size_bytes,out_size_bytes,nlines
third_party/libwebp/utils/thread.c,60,8540,596,319
third_party/libwebp/utils/bit_reader.c,62,19603,1336,811
third_party/libwebp/dec/quant.c,61,32456,1640,1376
third_party/libwebp/dec/alpha.c,86,50277,152,2068
third_party/libwebp/dec/layer.c,100,50553,300,2086
third_party/libwebp/dec/tree.c,119,49858,6512,1753
third_party/libwebp/dec/buffer.c,127,57526,1760,2312
third_party/libwebp/utils/bit_writer.c,145,35737,2532,1338
third_party/nss/mozilla/nsprpub/lib/libc/src/strcat.c,125,20983,632,803
third_party/libwebp/dec/webp.c,265,66742,6440,2696
third_party/libwebp/dec/idec.c,265,69244,5124,2800
third_party/libwebp/dec/frame.c,264,66503,7408,2636
third_party/nss/mozilla/nsprpub/lib/ds/plhash.c,214,51218,4052,2072
third_party/nss/mozilla/nsprpub/lib/libc/src/base64.c,212,42380,1900,1779
third_party/nss/mozilla/nsprpub/lib/libc/src/strcase.c,151,24719,2060,924
third_party/nss/mozilla/nsprpub/lib/libc/src/strcmp.c,40,20594,424,779
third_party/nss/mozilla/nsprpub/lib/libc/src/strchr.c,53,21102,656,810
third_party/nss/mozilla/nsprpub/lib/libc/src/strlen.c,52,21743,412,853
third_party/nss/mozilla/nsprpub/lib/libc/src/strcpy.c,56,21003,532,806
third_party/nss/mozilla/nsprpub/lib/libc/src/plgetopt.c,218,48490,1760,1857
third_party/nss/mozilla/nsprpub/lib/libc/src/strdup.c,58,39025,780,1477
third_party/nss/mozilla/nsprpub/lib/libc/src/strpbrk.c,58,21462,696,822
third_party/libwebp/dec/io.c,323,72177,9340,2795
third_party/nss/mozilla/nsprpub/lib/libc/src/strstr.c,70,22077,964,839
third_party/nss/mozilla/nsprpub/lib/libc/src/strtok.c,56,18571,432,741
third_party/nss/mozilla/nsprpub/lib/ds/plarena.c,303,53752,2900,2144
third_party/libwebp/dec/vp8.c,398,69866,14340,2810
third_party/nss/mozilla/nsprpub/lib/libc/src/plerror.c,360,57271,1216,1986
third_party/mach_override/mach_override.c,634,1809774,4656,54623
third_party/nss/mozilla/nsprpub/pr/src/io/prpolevt.c,190,82526,2900,3014
third_party/nss/mozilla/nsprpub/pr/src/io/pripv6.c,515,169255,152,5927
third_party/nss/mozilla/nsprpub/pr/src/io/prstdio.c,159,169713,644,5956
third_party/nss/mozilla/nsprpub/pr/src/io/prmapopt.c,499,168513,728,5932
third_party/nss/mozilla/nsprpub/pr/src/io/prmmap.c,482,167825,844,5912
third_party/nss/mozilla/nsprpub/pr/src/io/prfdcach.c,554,175237,3752,6179
third_party/nss/mozilla/nsprpub/pr/src/md/unix/os_Darwin.s,34,5669,492,232
third_party/nss/mozilla/nsprpub/pr/src/io/priometh.c,587,178934,3972,6359
third_party/nss/mozilla/nsprpub/pr/src/io/prlog.c,583,177207,7692,6272
third_party/nss/mozilla/nsprpub/pr/src/md/unix/darwin.c,85,167149,352,5883
third_party/nss/mozilla/nsprpub/pr/src/io/prscanf.c,281,99120,4976,3608
third_party/nss/mozilla/nsprpub/pr/src/io/prlayer.c,609,184604,6964,6639
third_party/nss/mozilla/nsprpub/pr/src/malloc/prmalloc.c,139,167121,152,5867
third_party/nss/mozilla/nsprpub/pr/src/md/prosdep.c,139,23429,724,938
third_party/nss/mozilla/nsprpub/pr/src/io/prmwait.c,636,191286,7640,6827
third_party/nss/mozilla/nsprpub/pr/src/io/prprf.c,470,187847,7636,7040
third_party/nss/mozilla/nsprpub/pr/src/memory/prseg.c,126,167035,292,5874
third_party/nss/mozilla/nsprpub/pr/src/md/unix/uxwrap.c,135,167082,152,5867
third_party/nss/mozilla/nsprpub/pr/src/md/unix/unix_errors.c,178,181852,5344,6657
third_party/nss/mozilla/nsprpub/pr/src/md/unix/uxrng.c,185,170399,584,5980
third_party/nss/mozilla/nsprpub/pr/src/malloc/prmem.c,285,177221,3784,6292
third_party/nss/mozilla/nsprpub/pr/src/memory/prshm.c,151,170148,976,5990
third_party/nss/mozilla/nsprpub/pr/src/memory/prshma.c,149,167899,772,5936
third_party/nss/mozilla/nsprpub/pr/src/md/unix/uxshm.c,212,184183,7520,6434
third_party/nss/mozilla/nsprpub/pr/src/misc/prerr.c,52,21520,7028,774
third_party/nss/mozilla/nsprpub/pr/src/misc/praton.c,129,54014,1132,1849
third_party/nss/mozilla/nsprpub/pr/src/md/unix/uxproces.c,300,184742,4964,6573
third_party/nss/mozilla/nsprpub/pr/src/misc/pralarm.c,211,173877,2592,6120
third_party/nss/mozilla/nsprpub/pr/src/misc/prerrortable.c,89,41236,2500,1600
third_party/nss/mozilla/nsprpub/pr/src/misc/prenv.c,123,170127,1312,5963
third_party/nss/mozilla/nsprpub/pr/src/misc/pratom.c,186,171279,1644,6032
third_party/nss/mozilla/nsprpub/pr/src/misc/prerror.c,120,170882,976,5991
third_party/nss/mozilla/nsprpub/pr/src/misc/prcountr.c,191,47196,5164,1898
third_party/nss/mozilla/nsprpub/pr/src/md/unix/unix.c,401,190091,7828,6757
third_party/nss/mozilla/nsprpub/pr/src/misc/prlog2.c,75,14143,360,612
third_party/nss/mozilla/nsprpub/pr/src/misc/prinrval.c,128,169542,1724,5953
third_party/nss/mozilla/nsprpub/pr/src/misc/pripc.c,120,170012,484,5971
third_party/nss/mozilla/nsprpub/pr/src/misc/prlong.c,108,167449,412,5875
third_party/nss/mozilla/nsprpub/pr/src/misc/prolock.c,113,19150,600,826
third_party/nss/mozilla/nsprpub/pr/src/misc/prinit.c,245,185523,8016,6733
third_party/nss/mozilla/nsprpub/pr/src/misc/prrng.c,162,169551,488,5953
third_party/nss/mozilla/nsprpub/pr/src/misc/prthinfo.c,153,169639,1024,5965
third_party/nss/mozilla/nsprpub/pr/src/misc/prsystem.c,211,255623,1668,9552
third_party/nss/mozilla/nsprpub/pr/src/pthreads/ptmisc.c,167,167211,436,5887
third_party/nss/mozilla/nsprpub/pr/src/misc/prtrace.c,249,189352,13388,6770
third_party/nss/mozilla/nsprpub/pr/src/misc/prtpool.c,290,131510,8096,4779
third_party/nss/mozilla/nsprpub/pr/src/threads/prtpd.c,456,172571,1876,6080
third_party/nss/mozilla/nsprpub/pr/src/misc/prdtoa.c,846,213904,27456,8420
third_party/nss/mozilla/nsprpub/pr/src/misc/prnetdb.c,709,213727,11492,7564
third_party/nss/mozilla/nsprpub/pr/src/misc/prtime.c,655,120236,13836,4103
third_party/nss/mozilla/nsprpub/pr/src/pthreads/ptsynch.c,594,189723,9896,6936
third_party/nss/mozilla/nsprpub/pr/src/pthreads/ptthread.c,539,197023,14344,7200
third_party/nss/mozilla/nsprpub/pr/src/threads/prcmon.c,532,175033,4740,6246
third_party/nss/mozilla/nsprpub/pr/src/threads/prrwlock.c,516,172840,1808,6132
third_party/nss/mozilla/nsprpub/pr/src/linking/prlink.c,1224,3949175,9544,117657
third_party/webrtc/common_audio/signal_processing/energy.c,521,30320,416,850
third_party/webrtc/common_audio/signal_processing/dot_product_with_scale.c,129,30363,364,853
third_party/webrtc/common_audio/signal_processing/cross_correlation.c,125,30946,516,870
third_party/webrtc/common_audio/signal_processing/complex_bit_reverse.c,122,30445,436,865
third_party/webrtc/common_audio/signal_processing/filter_ar_fast_q12.c,121,30800,552,866
third_party/webrtc/common_audio/signal_processing/downsample_fast.c,135,30895,516,873
third_party/webrtc/common_audio/signal_processing/copy_set_operations.c,135,31671,1348,912
third_party/webrtc/common_audio/signal_processing/division_operations.c,135,32634,756,952
third_party/webrtc/common_audio/signal_processing/auto_correlation.c,502,31296,728,901
third_party/webrtc/common_audio/signal_processing/resample_48khz.c,143,34557,2736,1021
third_party/webrtc/common_audio/signal_processing/filter_ar.c,492,32363,844,903
third_party/webrtc/common_audio/signal_processing/auto_corr_to_refl_coef.c,595,31919,1304,917
third_party/nss/mozilla/nsprpub/pr/src/pthreads/ptio.c,775,249155,34548,9177
third_party/webrtc/common_audio/signal_processing/complex_fft.c,188,44229,4148,1207
third_party/webrtc/common_audio/signal_processing/get_hanning_window.c,68,32024,1076,891
third_party/webrtc/common_audio/signal_processing/filter_ma_fast_q12.c,79,30716,484,863
third_party/webrtc/common_audio/signal_processing/get_scaling_square.c,75,30501,588,858
third_party/webrtc/common_audio/signal_processing/randomization_functions.c,65,34233,1700,928
third_party/webrtc/common_audio/signal_processing/lpc_to_refl_coef.c,77,30924,832,871
third_party/webrtc/common_audio/signal_processing/ilbc_specific_functions.c,91,33465,1136,927
third_party/webrtc/common_audio/signal_processing/refl_coef_to_lpc.c,85,30777,716,874
third_party/webrtc/common_audio/signal_processing/min_max_operations.c,118,34977,1396,1065
third_party/webrtc/common_audio/signal_processing/spl_version.c,63,29953,464,838
third_party/webrtc/common_audio/signal_processing/spl_sqrt_floor.c,108,31681,624,859
third_party/webrtc/common_audio/signal_processing/spl_sqrt.c,77,32235,764,929
